results.date,b.1.617.2,ay.103,ay.119,ay.25,ay.3,ay.39,ay.44,other
2021-07-26,4.141357293950979,12.532748549360557,2.5286731743290187,13.14211414931398,7.8945836325176115,2.3190824584214718,17.607560791010886,39.833879951095504
2021-07-27,4.093308234599343,12.83357324770236,2.570774738862437,13.221127228435389,8.01129443029565,2.2625770494223603,17.62447864762116,39.38286642306131
2021-07-28,4.131091902211381,12.928885824892614,2.5666861112584187,13.252373124038822,8.272789945378376,2.3174417988015064,17.468314153895108,39.06241713952379
2021-07-29,4.140908480043006,13.128275769385834,2.5937374008869774,13.215629619674777,8.431326434619004,2.358553957801371,17.37165703534471,38.759911302244326
2021-07-30,4.184127085291822,13.076592151176685,2.608307707015503,13.237520115995602,8.452701518458916,2.4234795494016983,17.276652698331766,38.740619174328
2021-07-31,4.164671352436858,13.184521510774697,2.639993820962385,13.306557503668802,8.516258592724183,2.451533173708195,17.327566231559434,38.40889781416544
2021-08-01,4.226324478463155,13.26579618790335,2.642953624493472,13.40387212967132,8.734804142278255,2.4478463154735106,17.199459702836563,38.078943418880385
2021-08-02,4.203316510454218,13.316510454217736,2.670511896178803,13.700072098053354,8.951694304253786,2.5133381398702235,17.101658255227107,37.542898341744774
2021-08-03,4.302062632769136,13.461248543822379,2.6656616185842523,13.787432330569448,9.004317138354004,2.595765092852737,16.83958062084561,37.34393202220242
2021-08-04,4.320719153255038,13.635704588292672,2.6704627835554327,13.80310279831811,8.960417572857764,2.558424611491162,16.8479048861824,37.20326360604743
2021-08-05,4.404695936803308,13.703784842588174,2.631477209757857,13.903529684660882,9.121251562520133,2.5554453021301815,16.66000850526424,37.019806956275204
2021-08-06,4.523869664056581,13.78630967416014,2.6155594847183634,13.78630967416014,9.320535488759788,2.5221015407931295,16.574892649659006,36.87042182369285
2021-08-07,4.6006671282019,13.975706463591164,2.5904713953049283,13.825917301277613,9.405248914343256,2.514947447919945,16.439045880798037,36.64799546856316
2021-08-08,4.575338276890147,13.97064444614326,2.5380322605305405,13.847055525826264,9.390209718930766,2.503631220854675,16.498483806029103,36.676604744795256
2021-08-09,4.756405814953102,14.306426985898868,2.5469289297766142,13.871460282022657,9.394767568677265,2.509719388737057,16.481260505279906,36.13303052465453
2021-08-10,4.819688493157882,14.43411341370525,2.534604575420902,13.965277230583354,9.44370026002679,2.529351508943346,16.52352060515326,35.74974391300922
2021-08-11,4.9426218442014305,14.607803429188603,2.5637910085054676,13.957067638720128,9.559875793168624,2.5583907114891318,16.700418523018765,35.11003105170784
2021-08-12,5.044378286636432,14.753345761108482,2.5430566762193596,14.12175509863387,9.55037422442336,2.562533040260427,17.077988926295873,34.34656798642219
2021-08-13,5.149321532194249,15.154889950470382,2.508718970721843,14.29764661059172,9.636294364174555,2.5849183787110577,17.300196360012894,33.36801383312329
2021-08-14,5.278022411855811,15.156852622308604,2.5129824774514864,14.355127698988735,9.575146527377084,2.5934586534665494,17.557472137022078,32.97093747152965
2021-08-15,5.213507657385433,15.279395073920671,2.6222307386171013,14.315404684344735,9.470394882301784,2.6635024984154594,17.633359373848446,32.80220509116637
2021-08-16,5.327410675689776,15.344254475531773,2.6547617273093143,14.379835139445794,9.4697929554161,2.663705337844888,17.84399362022448,32.316246068537865
2021-08-17,5.417342707769965,15.509885223243794,2.565951565410732,14.428219457965263,9.542695751457243,2.656090379183943,17.994711856258636,31.885103058710406
2021-08-18,5.561292446759157,15.726065939328635,2.5202412487466144,14.503359822804892,9.628997740163726,2.734252233646119,17.707538275041532,31.618252293509336
2021-08-19,5.56394839411427,15.845847055624377,2.569719309907242,14.569296310843885,9.686678550926066,2.735897513369792,17.657189473366167,31.371423391848204
2021-08-20,5.471692517571696,15.722589637889616,2.6320472137370623,14.794329606453335,9.66665678104333,2.804057059817907,17.402651324179246,31.505975859307807
2021-08-21,5.5448480355819125,15.728687916975536,2.6078576723498883,14.756115641215715,9.739065974796144,2.7813194959229057,17.16234247590808,31.67976278724981
2021-08-22,5.6930421851764885,15.853486733975112,2.5045002739297173,14.911168505909053,9.80198794709243,2.7486890506378647,17.16834937778821,31.31877592549111
2021-08-23,5.535302077529252,15.918172411048314,2.4930351030804743,14.942290854095358,9.938708907108175,2.7477513332802674,17.12966648093608,31.29507283292207
2021-08-24,5.494209534069486,15.831498233551436,2.6298696155003882,15.08689659542783,10.126582278481013,2.7581945786663713,16.827997021593447,31.244752142710038
2021-08-25,5.340370056230954,15.728960512675524,2.7141645462256148,15.207489083655323,10.355605817861965,2.6733264222662014,16.79389312977099,31.186190431313417
2021-08-26,5.232966161169255,15.927745400176974,2.7614194611417933,15.0810118085009,10.468983614560766,2.7385347694748723,16.512067860739023,31.27727092423641
2021-08-27,5.154132218704858,16.014076282386206,2.7322740264929153,15.012140025202076,10.555675077603958,2.7599348434090416,16.68408273657682,31.087684789624113
2021-08-28,5.0599758236989745,16.095837336887456,2.7802746179834483,15.003254502061184,10.543036915351951,2.836066081889471,16.91256237795617,30.76899234417134
2021-08-29,5.030823084786717,16.04659087388867,2.876304947182553,14.903503608934049,10.5572937641337,2.820544592794523,17.01620148074719,30.748737647532604
2021-08-30,5.038866446321459,16.126514873301506,2.908862773901334,14.988064634594197,10.611763985799975,2.9256946994736204,16.73552454400783,30.66470804260007
2021-08-31,5.084670099104194,16.340287491443707,2.849617570905628,14.916222731466327,10.72884735573346,3.0891937739948214,16.57688759263117,30.41427338472069
2021-09-01,5.00332864856868,16.505658702566755,2.7738738072342626,14.930098380057697,10.783341963162954,3.242843405577336,16.51157630002219,30.249278792810113
2021-09-02,4.9202206536568,16.597959546829586,2.7581707100065245,14.925262471083695,10.807283943294383,3.3320481641853013,16.49267453585622,30.166379975087494
2021-09-03,4.9077305258177075,16.740107647719878,2.8272313243035425,15.047021943573666,10.906725025137517,3.3920861181759028,16.295025728987987,29.884071686283786
2021-09-04,4.908272352656509,16.79547154316552,2.8405508058248157,15.062104969864057,11.005851212036779,3.396342625859717,16.037306975993896,29.9540995145987
2021-09-05,4.920568380577921,16.931438731406928,2.8072102805764754,15.115858858902268,11.010566790500006,3.459142225241764,15.861749953020427,29.89346477977421
2021-09-06,4.884720593982024,17.112804480917024,2.8135990621336457,15.03516998827667,11.05412270418132,3.4274456167773866,15.841148886283705,29.83098866744822
2021-09-07,4.662173892457506,17.319802402108557,2.886633733684759,14.890863464907437,10.926279572607758,3.437445747384038,16.12190464165654,29.754896545193414
2021-09-08,4.636741816368821,17.454777744885718,2.972749793559042,14.753127775267593,10.819064238193913,3.443279373042706,16.065001635947212,29.855257622734992
2021-09-09,4.63949264207869,17.703651253001667,3.0386059971676627,14.726617819099811,10.96607351764054,3.392648235946063,15.995012622375471,29.53789791269011
2021-09-10,4.523199928131878,17.82179700250041,3.088831993292309,14.536824926260314,11.12758088906856,3.3957687643174777,15.97269011364147,29.533306382787583
2021-09-11,4.361995487590875,17.852034270715055,3.0554613422205184,14.57095247223984,11.192544202439061,3.421172931443824,15.999882028519608,29.54595726483123
2021-09-12,4.260523901742942,17.84877033067839,3.044687449946853,14.5405303085458,11.281797399420476,3.3999737903519374,16.01991933252763,29.60379748678597
2021-09-13,4.159483884448624,17.94650786188163,3.014156610771562,14.659405526824429,11.261296557488379,3.462101029096799,15.983649375750927,29.513399153737662
2021-09-14,4.159691645448535,18.01454555685287,3.04134370560018,14.69185645758015,11.335405911066722,3.4155330791846605,15.993078903315656,29.348544740951233
2021-09-15,4.136957289092835,18.277444405224145,2.986233674549947,14.74479350511825,11.340628309212846,3.4521708436286622,15.98164489939993,29.080127073773383
2021-09-16,4.183187653847856,18.243591822295596,2.9818846454313643,14.732544256592428,11.243606562209811,3.4579838745338507,15.964801084857688,29.19240010023142
2021-09-17,4.225797227949254,18.329846950292705,2.9631747656097156,14.743637977998164,11.16344865987449,3.4026095200830713,15.858778913151436,29.312705985041156
2021-09-18,4.266911539638812,18.34710743801653,2.970615243342516,14.738292011019286,11.141720232629323,3.379247015610652,15.991735537190085,29.1643709825528
2021-09-19,4.300241830470639,18.427171823649775,2.956222484032988,14.706703044583616,11.144354188627766,3.410429714143982,15.98871457803683,29.066162336454386
2021-09-20,4.365467807635228,18.391802709274057,2.930310398181187,14.679970949508983,11.402317723957184,3.396065553064511,15.813571631563992,29.020493226814864
2021-09-21,4.389711465451784,18.52220956719818,2.9581118704125537,14.679827891672995,11.375284738041001,3.480131612250063,15.657428499114149,28.937294355859272
2021-09-22,4.405278842060452,18.348233290762025,3.0481055768412095,14.85057471264368,11.499361430395913,3.4584929757343557,15.640698169433803,28.749255002128564
2021-09-23,4.3003817525755235,18.425227046908503,3.0575069290707204,15.050464552791674,11.637352484878067,3.4671501037181662,15.63268080952464,28.42923632053271
2021-09-24,4.373631543709172,18.49519570055914,3.0653420914535943,15.129471798490851,11.783652715198233,3.51048622043682,15.692235311148508,27.949984619003672
2021-09-25,4.336252317747059,18.615410034697362,3.1264342494171213,15.110792898973765,11.776908813864258,3.53949808154798,15.70376897798829,27.79093462576417
2021-09-26,4.403728103009433,18.77526575834706,3.222787842491391,15.071492738433898,11.706468034136847,3.5110046414133853,15.765833208564157,27.543419673603836
2021-09-27,4.3793083473324455,18.98665739828921,3.3076522041360135,15.149935314449014,11.643399177431501,3.506536137017514,15.740794377184345,27.285717044159956
2021-09-28,4.353824625027101,19.238425606559314,3.2362969824782706,15.233458817036876,11.80795080513235,3.5161716301712755,15.690718804816997,26.923152728777815
2021-09-29,4.271535256964042,19.462842442742232,3.196452225997812,15.239301963946325,11.860469580909598,3.5708114957092674,15.544548753095667,26.854038280635066
2021-09-30,4.31130588551878,19.64402414177527,3.275285434205974,15.034790297159113,11.872909698996656,3.640487448583401,15.542228885557222,26.678968208203592
2021-10-01,4.387508459827903,19.893647877791743,3.244706564826453,14.968577782074831,11.754810016436238,3.6720487286087207,15.593154790679687,26.48554577975442
